Date,Price
10-07-2015,51.830002
13-07-2015,52.431999
14-07-2015,53.130001
15-07-2015,52.627998
16-07-2015,53.335999
17-07-2015,54.931999
20-07-2015,56.452
21-07-2015,53.354
22-07-2015,53.574001
23-07-2015,53.439999
24-07-2015,53.082001
27-07-2015,50.602001
28-07-2015,52.964001
29-07-2015,52.764
30-07-2015,53.358002
31-07-2015,53.23
03-08-2015,51.998001
04-08-2015,53.256001
05-08-2015,54.026001
06-08-2015,49.226002
07-08-2015,48.501999
10-08-2015,48.228001
11-08-2015,47.473999
12-08-2015,47.633999
13-08-2015,48.501999
14-08-2015,48.630001
17-08-2015,50.998001
18-08-2015,52.144001
19-08-2015,51.049999
20-08-2015,48.436001
21-08-2015,46.153999
24-08-2015,43.773998
25-08-2015,44.006001
26-08-2015,44.967999
27-08-2015,48.598
28-08-2015,49.695999
31-08-2015,49.812
01-09-2015,47.726002
02-09-2015,49.537998
03-09-2015,49.113998
04-09-2015,48.386002
08-09-2015,49.633999
09-09-2015,49.782001
10-09-2015,49.695999
11-09-2015,50.048
14-09-2015,50.638
15-09-2015,50.714001
16-09-2015,52.450001
17-09-2015,52.414001
18-09-2015,52.124001
21-09-2015,52.84
22-09-2015,52.188
23-09-2015,52.212002
24-09-2015,52.624001
25-09-2015,51.382
28-09-2015,49.686001
29-09-2015,49.330002
30-09-2015,49.68
01-10-2015,47.976002
02-10-2015,49.514
05-10-2015,49.23
06-10-2015,48.292
07-10-2015,46.391998
08-10-2015,45.344002
09-10-2015,44.138
12-10-2015,43.116001
13-10-2015,43.849998
14-10-2015,43.375999
15-10-2015,44.262001
16-10-2015,45.402
19-10-2015,45.619999
20-10-2015,42.605999
21-10-2015,42.018002
22-10-2015,42.344002
23-10-2015,41.818001
26-10-2015,43.051998
27-10-2015,42.07
28-10-2015,42.591999
29-10-2015,42.326
30-10-2015,41.386002
02-11-2015,42.757999
03-11-2015,41.669998
04-11-2015,46.326
05-11-2015,46.354
06-11-2015,46.472
09-11-2015,45.066002
10-11-2015,43.299999
11-11-2015,43.816002
12-11-2015,42.588001
13-11-2015,41.438
16-11-2015,42.862
17-11-2015,42.799999
18-11-2015,44.214001
19-11-2015,44.360001
20-11-2015,44.001999
23-11-2015,43.549999
24-11-2015,43.650002
25-11-2015,45.928001
27-11-2015,46.321999
30-11-2015,46.051998
01-12-2015,47.438
02-12-2015,46.397999
03-12-2015,46.542
04-12-2015,46.076
07-12-2015,46.226002
08-12-2015,45.344002
09-12-2015,44.903999
10-12-2015,45.414001
11-12-2015,43.403999
14-12-2015,43.716
15-12-2015,44.217999
16-12-2015,46.902
17-12-2015,46.678001
18-12-2015,46.091999
21-12-2015,46.512001
22-12-2015,45.990002
23-12-2015,45.939999
24-12-2015,46.113998
28-12-2015,45.790001
29-12-2015,47.438
30-12-2015,47.618
31-12-2015,48.001999
04-01-2016,44.681999
05-01-2016,44.686001
06-01-2016,43.807999
07-01-2016,43.130001
08-01-2016,42.200001
11-01-2016,41.57
12-01-2016,41.993999
13-01-2016,40.062
14-01-2016,41.236
15-01-2016,40.998001
19-01-2016,40.944
20-01-2016,39.740002
21-01-2016,39.993999
22-01-2016,40.509998
25-01-2016,39.276001
26-01-2016,38.712002
27-01-2016,37.613998
28-01-2016,37.939999
29-01-2016,38.240002
01-02-2016,39.388
02-02-2016,36.556
03-02-2016,34.695999
04-02-2016,35.066002
05-02-2016,32.52
08-02-2016,29.598
09-02-2016,29.65
10-02-2016,28.733999
11-02-2016,30.094
12-02-2016,30.208
16-02-2016,31.034
17-02-2016,33.736
18-02-2016,33.354
19-02-2016,33.316002
22-02-2016,35.548
23-02-2016,35.442001
24-02-2016,35.799999
25-02-2016,37.486
26-02-2016,38.068001
29-02-2016,38.386002
01-03-2016,37.27
02-03-2016,37.667999
03-03-2016,39.147999
04-03-2016,40.208
07-03-2016,41.057999
08-03-2016,40.52
09-03-2016,41.743999
10-03-2016,41.035999
11-03-2016,41.5
14-03-2016,43.029999
15-03-2016,43.667999
16-03-2016,44.386002
17-03-2016,45.276001
18-03-2016,46.548
21-03-2016,47.664001
22-03-2016,46.848
23-03-2016,44.515999
24-03-2016,45.549999
28-03-2016,46.051998
29-03-2016,46.026001
30-03-2016,45.377998
31-03-2016,45.953999
01-04-2016,47.518002
04-04-2016,49.397999
05-04-2016,51.094002
06-04-2016,53.084
07-04-2016,51.439999
08-04-2016,50.014
11-04-2016,49.984001
12-04-2016,49.563999
13-04-2016,50.905998
14-04-2016,50.372002
15-04-2016,50.902
18-04-2016,50.776001
19-04-2016,49.473999
20-04-2016,49.993999
21-04-2016,49.658001
22-04-2016,50.75
25-04-2016,50.363998
26-04-2016,50.748001
27-04-2016,50.293999
28-04-2016,49.542
29-04-2016,48.152
02-05-2016,48.360001
03-05-2016,46.464001
04-05-2016,44.512001
05-05-2016,42.306
06-05-2016,42.986
09-05-2016,41.784
10-05-2016,41.737999
11-05-2016,41.792
12-05-2016,41.456001
13-05-2016,41.521999
16-05-2016,41.658001
17-05-2016,40.931999
18-05-2016,42.234001
19-05-2016,43.042
20-05-2016,44.056
23-05-2016,43.243999
24-05-2016,43.582001
25-05-2016,43.916
26-05-2016,45.023998
27-05-2016,44.608002
31-05-2016,44.646
01-06-2016,43.911999
02-06-2016,43.792
03-06-2016,43.798
06-06-2016,44.136002
07-06-2016,46.467999
08-06-2016,47.104
09-06-2016,45.872002
10-06-2016,43.757999
13-06-2016,43.574001
14-06-2016,42.992001
15-06-2016,43.540001
16-06-2016,43.585999
17-06-2016,43.094002
20-06-2016,43.939999
21-06-2016,43.922001
22-06-2016,39.332001
23-06-2016,39.279999
24-06-2016,38.630001
27-06-2016,39.709999
28-06-2016,40.358002
29-06-2016,42.037998
